F1,College or VP,Program Name,Description,URL,Inclusive Excellence area,Notes,constituent group
,Agriculture and Life Sciences,The George Washington Carver Program for Graduate Students,"George Washington Carver Assistantships are awarded annually to encourage students from historically black colleges and universities, Hispanic-serving institutions, tribal college and universities, students from the Appalachian region, and non-traditional students to enroll in a graduate program in the College of Agriculture and Life Sciences at Virginia Tech. The assistantships are awarded to students who have demonstrated excellence in academic achievement, scholarship, and community service. The graduate program was established in honor of Carver, a noted American educator, scientist, innovator, and servant of mankind.",http://www.research.cals.vt.edu/graduate/scholarships/carver-assistantship.html,,,Undergraduate Students; Graduate  and Professional Students; Faculty Members; Staff Members; Community
2,Agriculture and Life Sciences,VT-PREP (Post Baccalaureate Research and Education Program,"The VT-PREP is supported by the NIH through the National Institute of General Medical Sciences and the National Human Genome Research Institute (NHGRI).This program is a 12-month mentored research experiential work and educational program. 75% of each scholar's time will be in a mentored research program while the other 25% of the time will be in enrichment programs like VT undergraduate and/or graduate course work. We provide academic seminars off-site and technical workshops to gain additional laboratory skills, Graduate school preparation and survival as well as a GRE preparation program. Eighty percent of our PREP scholars go on to graduate school.",http://www.prep.apsc.vt.edu/,Access and Success,,Undergraduate Student Athletes; Graduate Student Athletes
3,Agriculture and Life Sciences,VT-IMSD (Initiative for Maximizing Student Development Program),The mission of the VT-IMSD Program is to use developmental and experiential learning activities to support doctoral as well as undergraduate students from historically underrepresented groups who want to pursue a Ph.D. and a research career in biomedical or behavioral fields in science or engineering,http://www.apsc.vt.edu/academics/vtimsd/index.html,Access and Success,,Undergraduate Student Athletes; Graduate Student Athletes; Athletic Staff Members
4,Agriculture and Life Sciences,"MANNRS (Minorities in Agriculture, Natural Resources, and Related Sciences)","MAOP provides support to the Minorities in Agriculture, Natural Resources, and Related Sciences (MANRRS) student chapter at Virginia Tech.",http://www.maop.vt.edu/Student_organizations/student_organ_manrrs.html,Access and Success,,Faculty Members; Staff Members; Undergraduate Students; Graduate and Professional Students
6,Agriculture and Life Sciences,"COACHE survey breakout (view college comparisons on slides 15, 19, 23, 26, 32, and 33)",The Collaborative on Academic Careers in Higher Education (COACHE) Survey conducted by the Harvard Graduate School of Education,https://docs.google.com/a/vt.edu/viewer?a=v&pid=sites&srcid=dnQuZWR1fGRpdmVyc2l0eS1pbnRyYW5ldHxneDoyZGYwMDVlNDUxN2FmMDRj,Campus Climate and Intergroup Relations,,Faculty Members; Staff Members; (VCE) Extension Volunteers
7,Agriculture and Life Sciences,Diversity Enhancement Award,"The Diversity Enhancement Award was established in 2006 to recognize outstanding diversity accomplishments of faculty, staff, and students in the college. Individuals should exemplify excellence in advancing the college’s mission of promoting diversity in the college. In 2013, the award was changed to create separate categories for faculty, staff, and students. The award will include a letter of commendation, a plaque, and a monetary award of $500. Award recipients will be recognized at a reception in May.",http://www.cals.vt.edu/diversity/diversity-award.html,Education and Scholarship,,Faculty Members; Staff Members
8,Agriculture and Life Sciences,Diversity Incentive Fund,"The CALS Diversity Incentive Fund is specifically designed to provide support for new, innovative and creative approaches to raise awareness, engage learners, and change behaviors about diversity and inclusion within the academic community as well as the broader communities that the College serves",http://www.cals.vt.edu/diversity/diversity-incentive-fund.html,Education and Scholarship,,Faculty Members; Staff Members
9,Agriculture and Life Sciences,Diversity Roundtable,,http://www.cals.vt.edu/faculty-staff/diversity-council/news/roundtable-international-service-learning.pdf,Education and Scholarship,,Faculty Members; Staff Members; Undergraduate Students; Graduate and Professional Students
10,Agriculture and Life Sciences,Diversity web page,"The College of Agriculture and Life Sciences encourages faculty, staff and students to create new opportunities that increase the understanding of, appreciation for, and advocacy of diversity issues",http://www.cals.vt.edu/diversity/index.html,Institutional Infrastructure:,,Faculty Members; Undergraduate Students; Graduate and Professional Students
11,Agriculture and Life Sciences,College Diversity Council,"The College Diversity Council provides college-wide leadership to promote diversity, guides the recruitment and retention of employees, and supports the inclusion of all people in educational programs and services ",http://www.cals.vt.edu/faculty-staff/diversity-council/index.html,Institutional Infrastructure:,,Faculty Members
12,Agriculture and Life Sciences,My Sister’s Keeper (MSK),"My Sister’s Keeper promotes networking and professional development opportunities for graduate and faculty women of color, and seeks to enhance scholarship, positive thinking, and social and academic adjustment within the Virginia Tech Community. Through a series of discussions and informal social gatherings, MSK intends to recognize, celebrate and develop a support network for women of color. maop@ vt.edu.",,,,Faculty Members; Staff Members
211,Agriculture and Life Sciences,Virginia-North Carolina Alliance for Minority Participation at Virginia Tech (VT-AMP),"The Virginia-North Carolina Alliance for Minority Participation is part of the Louis Stokes Alliance for Minority Participation, a project funded by the National Science Foundation that promotes the graduation of underrepresented undergraduates in the Science, Technology, Engineering, and Mathematics fields (STEM). VT-AMP contributes to the project’s the long-term goal of increasing the number of students who earn doctorates in STEM fields, particularly students from populations underrepresented in science and technology disciplines. Multicultural Academic Opportunities Program maop@vt.edu",http://www.maop.vt.edu/Documents/13-4_VT_AMP_App.pdf,Access and Success,,Undergraduate Students
,Architecture and Urban Studies,University-Wide Diversity Awareness Competition,"Diversity and inclusion have different meanings for different people. The CAUS competition is designed to invite a university-wide dialogue on the creative interpretation of diversity and inclusion. The project is widely publicized (via CAUS website, social media, exhibition and celebratory event) in order to raise the profile of diversity and inclusion, hence improving campus climate and intergroup relations and spurring new ideas on diversity and inclusion that can be used in education and scholarship.",,Campus Climate and Intergroup Relations; Education and Scholarship,,Graduate and Professional Students
,Architecture and Urban Studies,Focus on Faculty Mentoring,"In the past, women and minorities were excluded from the built-environment professions. For years, CAUS has striven to increase the participation of these historically underrepresented groups as students, faculty and staff. Today, just over half of the college students are female. The share of junior female faculty has also increased substantially (48% of Assistant Professors), but remains lower at the senior ranks (37% of Associate Professor and 27% of Full Professors). The share of minority faculty is in need of greater attention, as the share of minority students and those of mixed race has increased. With the goal of improving faculty development, CAUS is launching a series of steps to enhance the quality of mentoring and thus help faculty, especially female and minority faculty, succeed in scholarship, promotion and tenure. These steps should also help enhance overall faculty satisfaction with college mentoring as expressed, for example, in the COACHE survey. In the long term, a successful faculty with substantial representation of women and minorities will help further diversify the composition of the student body and will also help diverse students succeed (i.e., since the faculty can serve as role models to the students). It will also enrich all scholarship, design-build, instruction and engagement activities at CAUS.",,Access and Success; Education and Scholarship,,Faculty Members; Staff Members; Undergraduate Students; Graduate and Professional Students; Community
,Architecture and Urban Studies,The International Archive of Women Architects,"Women’s contributions to the built environment have been profound, yet underdocumented and understudied. The IAWA has made great strides in collecting materials that reflect women’s achievements and making them available to interested students, professionals and faculty in the university and around the world. The IAWA began at a time when the share of CAUS’s female students and faculty was very small. Today, over half of the college students are female. However, further progress must be made in attracting female faculty (especially at the senior level) and promoting them. The current composition of the tenure-stream faculty is as follows: Professors (73% male, 27% female), Associate Professors (63% male, 37% female) and Assistant Professors (52% male, 48% female). The IAWA is an important venue that helps shift college culture and campus relations in ways that would promote gender equality and make female, minority and international faculty and students feel included and appreciated.",,Campus Climate and Intergroup Relations; Education and Scholarship; Institutional Infrastructure,,Veterans; Faculty Members; Staff Members; Undergraduate Students; Graduate and Professional Students
18,Architecture and Urban Studies,Diversity Committee,"The purpose of the CAUS Diversity Committee is to provide leadership, direction, and assistance in strengthening and sustaining a diverse environment with a supportive, nurturing climate.",http://www.causdiversity.arch.vt.edu/committee.html,Institutional Infrastructure,,Other (Underrepresented High School Students)
15,Architecture and Urban Studies,"COACHE survey breakout (view college comparisons on slides 15, 19, 23, 26, 32, and 33)",The Collaborative on Academic Careers in Higher Education (COACHE) Survey conducted by the Harvard Graduate School of Education,https://docs.google.com/a/vt.edu/viewer?a=v&pid=sites&srcid=dnQuZWR1fGRpdmVyc2l0eS1pbnRyYW5ldHxneDoyZGYwMDVlNDUxN2FmMDRj,Campus Climate and Intergroup Relations,,Undergraduate Students; Community (specifically elementary school pupils in Montgomery County)
16,Architecture and Urban Studies,National Organization of Minority Architect Students (NOMAS),"NOMAS' mission is to create diversity with the design professions by promoting the excellence, community engagement, and professional development of its members.",https://gobblerconnect.vt.edu/organization/nomas,Education and Scholarship,,Faculty Members; Staff Members; Undergraduate Students; Graduate and Professional Students
,Architecture and Urban Studies,Inclusion and Diversity Plan,,,,,Undergraduate Students; Graduate and Professional Students; Faculty Members; Staff Members; Community
19,Engineering,Statistical Information (from Engineering Diversity website),No Information,http://www.eng.vt.edu/overview/coe-statistical-information,Access and Success,,Undergraduate Students; Graduate and Professional Students; Faculty Members; Staff Members; Community
,Engineering,Greater Diversity Among Faculty and Staff,"Per the College's Strategic Plan, this initiative will: (E5.1) Provide an environment that is supportive of a diverse community, resulting in increased numbers from traditionally under-represented groups and under-served communities.   (E5.3) Provide mentoring so that new faculty members and new staff members may flourish in their careers.   (E5.4) Provide opportunities to faculty members and staff members to acquire new skills and engage in life-long learning.  (E5.5) Support programs like AdvanceVT that help modernize the working environment and enhance the work-life balance.   (E5.8) Be more proactive and less reactive in our recruiting for diversity.  (E5.9) Live by the “Principles of Community.”",,Access and Success; Campus Climate and Intergroup Relations,,Undergraduate Students
,Engineering,Greater Diversity Among Undergraduate Engineering Students,"Per the College's Strategic Plan, this initiative will: (E5.1) Provide an environment that is supportive of a diverse community, resulting in increased numbers from traditionally under-represented groups and under-served communities.  (E5.2) Provide mentoring so that students of all backgrounds, especially first-generation college students, may find a successful path to graduation.  (E5.6) Incorporate the work of the Center for the Enhancement of Engineering Diversity into departmental teaching and research efforts.  (E5.7) Make greater use of the COE Diversity Committee, particularly as a complement to the work of CEED. (E5.8) Be more proactive and less reactive in our recruiting for diversity.  (E5.9) Live by the “Principles of Community.”",,Access and Success; Campus Climate and Intergroup Relations; Education and Scholarship,,Faculty Members; Staff Members; Graduate and Professional Students; Undergraduate Students 
,Engineering,Greater Diversity Among Graduate Engineering Students,"Per the College's Strategic Plan, this initiative will:(E5.1) Provide an environment that is supportive of a diverse community, resulting in increased numbers from traditionally under-represented groups and under-served communities.  (E5.2) Provide mentoring so that students of all backgrounds, especially first-generation college students, may find a successful path to graduation.  (E5.6) Incorporate the work of the Center for the Enhancement of Engineering Diversity into departmental teaching and research efforts.  (E5.7) Make greater use of the COE Diversity Committee, particularly as a complement to the work of CEED. (E5.8) Be more proactive and less reactive in our recruiting for diversity.  (E5.9) Live by the “Principles of Community.”",,Access and Success; Campus Climate and Intergroup Relations; Education and Scholarship,,Undergraduate Students
,Engineering,College Diversity Council,,https://www.eng.vt.edu/diversity/committee,Institutional Infrastructure,,Faculty Members; Staff Members
35,Engineering,Diversity Committee Graduate Student Luncheons,"Once a month, the Diversity Committee pairs up with a COE department to host a lunch at PK’s bar and grill. This is an opportunity for graduate students across all disciplines to come together, socialize, and spend an afternoon engaging with people they wouldn’t otherwise meet",https://www.eng.vt.edu/diversity/luncheons,Campus Climate and Intergroup Relations,,Undergraduate Students; Other - High School students 
21,Engineering,Dean's Team,"The College of Engineering Dean's Team is a prestigious group of highly motivated, dedicated, and outgoing undergraduate students who assist the College of Engineering with its recruiting efforts",https://gobblerconnect.vt.edu/organization/deansteam; https://www.eng.vt.edu/students/deansteam,Access and Success,,Graduate and Professional Students 
22,Engineering,New Horizon Graduate Scholarships,"The New Horizon Graduate Scholars group is designed to create a network among our graduate students, faculty, and key administrators",https://www.eng.vt.edu/gradstudies/newhorizon,Access and Success,,Other (Prospective Virginia Tech Students; High School Students)
20,Engineering,Center for the Enhancement of Engineering Diversity,"The Center for the Enhancement of Engineering Diversity (CEED) opened its doors in the fall of 1992. Since that time, the office has grown and expanded its efforts to provide encouragement and support to engineering students, focusing on the under-represented population",http://www.eng.vt.edu/ceed,Access and Success,,Undergraduate Students; Other (Prospective Virginia Tech Students; High School Students)
,Engineering,Academic Hispanic Outreach Alliance (AHORA),AHORA is a mentoring program that targets Hispanic/Latino first-semester College of Engineering students. The program helps students achieve academic and personal success.,http://www.eng.vt.edu/mentoring/description,Access and Success,,Undergraduate Students; Other (Prospective Virginia Tech Students; High School Students)
,Engineering,Black Engineering Support Teams (BEST),BEST is a mentoring program that targets Black first-semester College of Engineering students. The program helps students achieve academic and personal success.,http://www.eng.vt.edu/mentoring/description ,Access and Success,,Graduate and Professional Students; Graduate School Staff 
32,Engineering,Women Engineering Support Teams,WEST is a mentoring program that targets first-semester female College of Engineering students. The program helps students achieve academic and personal success.,http://www.eng.vt.edu/mentoring/description,Access and Success,,Faculty Members; Graduate School Staff
